text,label
"

OK, I should have said ""former"" enemy.  I was being sarcastic about what
interventionists want to do.


Could we back him without forcing others to back him at the point of a
gun?

Have you considered a non-interventionist policy?  If market reform does
happen, Russia will certainly get *private* capital at *private* risk to
help their economy.  They will even have incentive to do so for the same
reason.  If they don't reform, then our government will probably
consider them enemies anyway and rather spend money to hurt rather than help
them.

Then their's the ideological point.  We want to ""win"" Russia over to
our type of government -- a type where the rulers can rule without limit
over everyone's finances?




If a $1.6 billion gift was that important to our well being, couldn't it
be raised voluntarilly?  People already give over $100 billion a year to
charity.



It seems instead of gridlock on any scale, we have aid to Russia,
expensive space programs, national charity that doesn't help the poor,
and probably, studies of drunken goldfish.  I think *limited* government
is more key than how democratic it is.


That was an opinion, and libertarians are very big on free speech.


If you are pretty libertarian except on this one issue then you should
be VERY libertarian.  Consider it a compromise.  How much money would
your fellow Russia-aiders have to give to Russia if those you oppose
weren't using the same government machine to steal money from you
and your group for causes you don't support?


People have been saying that for hundreds of years.


All the more reason to depend on the free market which can more
efficiently process information, than to depend on rulers for decisions
on complex issues.


Roger Collins",talk.politics.misc
"
I shot off a response to this last night that I've tried to cancel.  It was 
only a few minutes later while driving home that I remembered that your 
message does specifically say cortical.  My first reaction had been to suggest
the PC12 pheochromocytoma line.  That may still be a good compromise, depending
on what you're doing.  Have you concidered using a mouse cell line from one 
of the SV40 T antigen transgenic lines?  Another alternative might be primary
cells from bovine adrenal cortex.  ",sci.med
"
Well Sweden and Australia, and lord knows wherever else used to drive on
the ""wrong"" side of the road, so the export market might have been
larger then than just the UK.


By the 1920s, there was a very active ""good roads"" movement, which had
its origins actually in the 1890s during the bicycle craze, picked up
steam in the teens (witness the Linclon Highway Association, 1912 or so,
and the US highway support act (real name: something different) in 1916
that first pledged federal aid to states and counties to build decent
roads. Also, the experience of widespread use of trucks for domestic
transport during WW 1 convinced the government that good raods were
crucial to our national defense.  Anyway, by the 20s there were plenty
of good roads, at least around urban areas, and they were rapidly
expanding into the countryside.  This was the era, after all, of the
first auto touring fad, the motel, the auto camp ground, etc. Two good
books on the subject spring to mind - Warren Belasco ""America on the
Road"" (title may not be exact - author is) and another called ""The Devil
Wagon in God's Country"" author I forget.  Also, any of John Flink's  or
John Bell Rae's auto histories.

As to placement of the steering wheel being arbitrary, by the early
teens there were virtually no American cars that did not have the wheel
on the left.  In the early days, cars had the wheel on the left, on the
right, and even in the middle, as well as sometimes having a tiller
instead of a wheel.  This was standardized fairly early on, though I
don't know why.


Dan
dh3q@andrew.cmu.edu
Carnegie Mellon University
Applied History",rec.autos
"Hello , I think you are probaly right, in spite of the movement
it is getting better each day.  cheers",sci.med
"
I'm not sure if this is free or shareware, but you can try to look to wsmrsimtel20.army.mil,
directory PD1:<MSDOS.DESKPUB>  file OCR104.ZIP .
From the file SIMIBM.LST :
OCR104.ZIP    B   93310  910424  Optical character recognition for scanners.

Hope this helps.",comp.graphics
"Can someone please remind me who said a well known quotation? 

He was sitting atop a rocket awaiting liftoff and afterwards, in answer to
the question what he had been thinking about, said (approximately) ""half a
million components, each has to work perfectly, each supplied by the lowest
bidder....."" 

Attribution and correction of the quote would be much appreciated. ",sci.space
"****************************   SPHINX   ***************************

	Sphinx is a user-friendly, state-of-the-art image processing
and analysis package that runs across a spectrum of high performance 
computer platforms operating UNIX and the X-Window System.

	It was created to meet to the daily research needs of scientists 
conducting climate investigations using satellite data and remote
sensing techniques. 

		   Intuitive Graphic Interface

	Sphinx features an interactive interface with pop-up menus and 
point-and-click dialog boxes which makes image processing and
analysis simple and fast.
	This accessible menuing enables you to build attractive image 
layouts quickly while also providing you the flexibility of returning
to the main menu to conduct other image analysis and processing operations.

		    Image Format Compatibility

	Using smart read/write functions, Sphinx allows you to easily open
and save image files in a variety of formats using bit, integer or real
data values.  Sphinx also reads and writes the common TIFF and GIF formats
as well as compresses and decompresses image formats to save disk space.

		    Image Analysis & Processing

	For image and pixel analysis, the Sphinx package includes an
assortment of processing tools that perform useful statistical and 
mathematical filtering operations, such as Fourier transforms, convolution 
product or principal component analyses.
An interactive interpreter for both algebraic equations and images allows
the user to manipulate and combine individual data channels interactively.
Standard FORTRAN notation is used for formula entry and for trig
onometric and transcendental functions.

		    Satellite Spectra & Orbit Analysis

	Sphinx possesses functions to simulate satellite signal sensitivity
for various meteorological satellites (e.g., GOES, METEOSAT, NOAA, Spot etc.).
The simulations are conducted for a selection of standard atmospheric and
surface conditions and instrument spectral bands.
A geometry model computes the solar zenith angles, warping, orbit simulation,
and 3-D image projection.

		    Easy External Program Interfacing

	Sphinx allows users the flexibility to integrate externally
developed software algorithms for processing and converting satellite
observations.  Sphinx exports and imports image files and image parameters
to external programs using special interface functions.

		    Quick Quality Presentation

	Sphinx rapidly displays, manipulates, and enhances high-resolution
multispectral images and color tables.  Using six 8-bit 1024x1024 image
planes and one graphics plane, the package conveniently combines color images,
graphics and text to generate sharp digital images for articles and reports.
Sphinx's 2-D and 3-D graphics editor provides complete flexibility for modifying
and integrating vector graphics and analysis plots with images, such as 
histograms and radial graphs.  The package supplies color and gray scale
output for standard inkjet and laser printers.
	Other Capabilities Sphinx also performs image animation, external 
graphics importing, mosaic fitting... what else?

		    Software Support & Development

	 Sphinx was developed at the Laboratoire d'Optique Atmospherique (LOA)
 of the Universite de Lille, France.
The package has received critical feedback and support from scientists at
the French national laboratory, Centre National de Recherche Scientifique (CNRS),
and the French space agency, Centre National d'Etudes Spatiales (CNES).
At LOA, Sphinx undergoes continued refinement and development to meet changing
research needs and advances in computer technology.  The package, which features
on-line help, is supported by an Internet address

 sphinx@loasil.citilille.fr through which questions can be answered and
 version updates provided without delay.

		    Performance Tested

 	CNES has selected Sphinx to analyze and process the satellite data 
collected during the upcoming ADEOS/POLDER satellite mission.  Today,
the Sphinx package is in use at the NASA - Goddard Space Flight Center
and is widely used in many French laboratories, including
the Centre de Recherche en Physique de l'Environnement, Ecole Normale Superieure ,
Laboratoire d' Etudes et de Recherches en Teledetection Spatiale,  Laboratoire 
de Meteorologie Dynamique.


   A TEST VERSION OF SPHINX IS AVAILABLE AT loasil.citilille.fr
   (134.206.50.4) anonymous (bin : cd SPHINX : get ALL_SPHINX.tar.Z)

   IN THE TEST VERSION THE OUTPUT FILES ARE DISABLE. HOWEVER THE
   VISUALISATION AND GRAPHIC FUNCTIONS ARE AVAILABLE. THIS IS
   SUFFICIENT TO WORK WITH.

   IF YOU ARE INTERESTED IN KEEPING ""SPHINX"", SEND US YOUR EMAIL
   AND YOU WILL RECEIVE NEWS ABOUT THE PACKAGE EVOLUTION.",comp.graphics
"If the heading is true, Mr. Frank should be ashamed of himself.

Nothing makes me gag more than people who don't respect the
rights of others to voice their opinions.  My idol Lenny Bruce
once commented about ""that asshole Time Magazine"" when they
advocated censorship of his material.  Time actually sided
with the cops' and their arresting of Bruce at his shows,
whereby he routinely would say ""cocksucker"", then the cops
would rush the stage to arrest him.  My, how the times haven't
changed...

I can't help but think of how Lenny would be received in today's
politically correct arena.  Heck, I even support the right of
neo nazis to speak their opinions and march down the streets.

And before Mr. Frank or anyone else makes any wisecracks about
anti-Semitism...I'm Jewish, a longtime member of AIPAC and the JNF,
and have contributed over $1000 apiece to these fine groups.  I'm
a regular contributor to every pro-Israel group I can find, but I
still support the right of people like Arf to speak up and vomit
his propaganda.

I want to know just WHO these people are !!!

I'm basing all this on the assumption that Mr. Frank did indeed
write to some sysadmin requesting Mr. Teel to be admonished.  If
this is not the case, I hereby retract these nasties directed
toward him.  If not, I stand against Mr. Frank and his trashing
of the First Amendment.",talk.politics.misc
"I'm plannig to trade my Sentra SE-R in with a NX2000.  My car has 11,500
miles on it and is a '92 model.  The NX2000 the dealer is selling is a '91
model with 23,000miles on it.  It has a T-Bar Roof, a/c, and an airbag,
which my Sentra does not have.  They are asking for $1500.  Is that a fair
deal?  The only thing I noticed about the NX2000 is that the engine did not
seem to have as much torque as my Sentra which has the same identical
engine.  I presume that the last lady owner did not really push the engine
to it's limits occassionaly while I did that on mine, thuis the NX2000's
engine is a little ""tight.""  So, if I buy the NX2000 and ""excercise"" it
well, should that slight power problem go away?  Any advice on this will be
much appreciated.  Thanks.  Please reply via e-mail if possible.
-- 
A motion picture major at the Brooks Institute of Photography, CA
Santa Barbara and a foreign student from Kuala Lumpur, Malaysia.",rec.autos
"

			....................


This example is probably wrong.  There is the case of one famous
physicist telling another that he was probably wrong.  As I recall
the quote:

	Your ideas are crazy, to be sure.  But they are not crazy
	enough to be right.

The typical screwball is only somewhat screwy.",sci.med
"Subject: options before back surgery for protruding disc at L4-L5
From: Alex Miller, amiller@almaden.ibm.com
Date: 13 Apr 93 18:30:42 GMT
rest

You don't say whether or not you have any symptoms other than pain.
If you have numbness, weakness or bladder problems, for example,
these would suggest a need for surgery. If pain is your only symptom
you might do well to find a reputable, multi-disciplinary pain
clinic in your area. Chronic low back pain generally doesn't do well
with surgery, acute on chronic pain (as only symptom) doesn't fare
much better.
e correlation between MRI findings and symptoms is controversial.",sci.med
"
You might -- except that gay men are MUCH more promiscuous than
straight men -- which shows how damaged and screwed up gay men are.
",talk.politics.misc
"


	We're talking about insurance agents from Bumf**k Illinois (ST.FARM is
HQ'ed in Bloomington).  What the hell do  they know about cars...  Both are
sports cars...  :-)











",rec.autos
"
OK, I don't use CView anymore, but I saw that no one had explaind this
""bug"" in the thread, so here goes:

It is NOT the fault of CView.  It is DOS!  If you leave a file open on a
floppy drive, then change the disk and do something which updates or closes
that file, you have a good chance of getting part of the directory and FAT
from the other disk written to the new disk.  This has always been true,
and has destroyed data under other programs, not just CView.

The only thing CView can do to improve the situation is to try not to leave
files open unless it's actively using them (ie, reading and decoding).
",comp.graphics
"I was chaining around in the anonymous ftp world looking for 3D Studio
meshes and other interesting graphical stuff for the program, and found
a few files with the extension 3D2.  My 3DS v2.01 doesn't know this type
of file, so what are they?

And of course, the perennial... Where are some meshes, fli files, etc.
out there?   I would have thought that someone would have collected a few
and put them somewhere, but alas I am without this knowledge.

mucho appreciato",comp.graphics
